condition,question_type,n,accuracy
lr_1e-4,negation,25,0.96
lr_1e-4,number,49,0.9387755102040817
lr_1e-4,position,31,0.9032258064516129
lr_1e-4,price,74,0.9594594594594594
lr_1e-4,text_other,321,0.9376947040498442
lr_2e-5,negation,25,1.0
lr_2e-5,number,49,0.9387755102040817
lr_2e-5,position,31,0.9354838709677419
lr_2e-5,price,74,0.918918918918919
lr_2e-5,text_other,321,0.9345794392523364
lr_5e-5,negation,25,0.96
lr_5e-5,number,49,0.9387755102040817
lr_5e-5,position,31,0.967741935483871
lr_5e-5,price,74,0.9324324324324325
lr_5e-5,text_other,321,0.9345794392523364
