position,token_id,token,supervised
0,248045,<|im_start|>,True
1,8678,system,True
2,198,Ċ,True
3,2523,You,True
4,513,Ġare,True
5,264,Ġa,True
6,10631,Ġhelpful,True
7,8851,Ġvisual,True
8,3296,Ġquestion,True
9,34579,Ġanswering,True
10,17313,Ġassistant,True
11,13,.,True
12,21134,ĠAnswer,True
13,1608,Ġusing,True
14,6681,Ġexactly,True
15,799,Ġone,True
16,6321,Ġletter,True
17,4082,Ġamong,True
18,264,Ġa,True
19,11,",",True
20,292,Ġb,True
21,11,",",True
22,272,Ġc,True
23,11,",",True
24,466,Ġor,True
25,293,Ġd,True
26,13,.,True
27,2233,ĠNo,True
28,15673,Ġexplanation,True
29,13,.,True
30,248046,<|im_end|>,True
31,198,Ċ,True
32,248045,<|im_start|>,True
33,846,user,True
34,198,Ċ,True
35,248053,<|vision_start|>,True
36,248056,<|image_pad|>,True
37,248056,<|image_pad|>,True
38,248056,<|image_pad|>,True
39,248056,<|image_pad|>,True
40,248056,<|image_pad|>,True
41,248056,<|image_pad|>,True
42,248056,<|image_pad|>,True
43,248056,<|image_pad|>,True
44,248056,<|image_pad|>,True
45,248056,<|image_pad|>,True
46,248056,<|image_pad|>,True
47,248056,<|image_pad|>,True
48,248056,<|image_pad|>,True
49,248056,<|image_pad|>,True
50,248056,<|image_pad|>,True
51,248056,<|image_pad|>,True
52,248056,<|image_pad|>,True
53,248056,<|image_pad|>,True
54,248056,<|image_pad|>,True
55,248056,<|image_pad|>,True
56,248056,<|image_pad|>,True
57,248056,<|image_pad|>,True
58,248056,<|image_pad|>,True
59,248056,<|image_pad|>,True
60,248056,<|image_pad|>,True
61,248056,<|image_pad|>,True
62,248056,<|image_pad|>,True
63,248056,<|image_pad|>,True
64,248056,<|image_pad|>,True
65,248056,<|image_pad|>,True
66,248056,<|image_pad|>,True
67,248056,<|image_pad|>,True
68,248056,<|image_pad|>,True
69,248056,<|image_pad|>,True
70,248056,<|image_pad|>,True
71,248056,<|image_pad|>,True
72,248056,<|image_pad|>,True
73,248056,<|image_pad|>,True
74,248056,<|image_pad|>,True
75,248056,<|image_pad|>,True
76,248056,<|image_pad|>,True
77,248056,<|image_pad|>,True
78,248056,<|image_pad|>,True
79,248056,<|image_pad|>,True
80,248056,<|image_pad|>,True
81,248056,<|image_pad|>,True
82,248056,<|image_pad|>,True
83,248056,<|image_pad|>,True
84,248056,<|image_pad|>,True
85,248056,<|image_pad|>,True
86,248056,<|image_pad|>,True
87,248056,<|image_pad|>,True
88,248056,<|image_pad|>,True
89,248056,<|image_pad|>,True
90,248056,<|image_pad|>,True
91,248056,<|image_pad|>,True
92,248056,<|image_pad|>,True
93,248056,<|image_pad|>,True
94,248056,<|image_pad|>,True
95,248056,<|image_pad|>,True
96,248056,<|image_pad|>,True
97,248056,<|image_pad|>,True
98,248056,<|image_pad|>,True
99,248056,<|image_pad|>,True
100,248056,<|image_pad|>,True
101,248056,<|image_pad|>,True
102,248056,<|image_pad|>,True
103,248056,<|image_pad|>,True
104,248056,<|image_pad|>,True
105,248056,<|image_pad|>,True
106,248056,<|image_pad|>,True
107,248056,<|image_pad|>,True
108,248056,<|image_pad|>,True
109,248056,<|image_pad|>,True
110,248056,<|image_pad|>,True
111,248056,<|image_pad|>,True
112,248056,<|image_pad|>,True
113,248056,<|image_pad|>,True
114,248056,<|image_pad|>,True
115,248056,<|image_pad|>,True
116,248056,<|image_pad|>,True
117,248056,<|image_pad|>,True
118,248056,<|image_pad|>,True
119,248056,<|image_pad|>,True
120,248056,<|image_pad|>,True
121,248056,<|image_pad|>,True
122,248056,<|image_pad|>,True
123,248056,<|image_pad|>,True
124,248056,<|image_pad|>,True
125,248056,<|image_pad|>,True
126,248056,<|image_pad|>,True
127,248056,<|image_pad|>,True
128,248056,<|image_pad|>,True
129,248056,<|image_pad|>,True
130,248056,<|image_pad|>,True
131,248056,<|image_pad|>,True
132,248056,<|image_pad|>,True
133,248056,<|image_pad|>,True
134,248056,<|image_pad|>,True
135,248056,<|image_pad|>,True
136,248056,<|image_pad|>,True
137,248056,<|image_pad|>,True
138,248056,<|image_pad|>,True
139,248056,<|image_pad|>,True
140,248056,<|image_pad|>,True
141,248056,<|image_pad|>,True
142,248056,<|image_pad|>,True
143,248056,<|image_pad|>,True
144,248056,<|image_pad|>,True
145,248056,<|image_pad|>,True
146,248056,<|image_pad|>,True
147,248056,<|image_pad|>,True
148,248056,<|image_pad|>,True
149,248056,<|image_pad|>,True
150,248056,<|image_pad|>,True
151,248056,<|image_pad|>,True
152,248056,<|image_pad|>,True
153,248056,<|image_pad|>,True
154,248056,<|image_pad|>,True
155,248056,<|image_pad|>,True
156,248056,<|image_pad|>,True
157,248056,<|image_pad|>,True
158,248056,<|image_pad|>,True
159,248056,<|image_pad|>,True
160,248056,<|image_pad|>,True
161,248056,<|image_pad|>,True
162,248056,<|image_pad|>,True
163,248056,<|image_pad|>,True
164,248056,<|image_pad|>,True
165,248056,<|image_pad|>,True
166,248054,<|vision_end|>,True
167,183553,ìĤ¬ì§Ħ,True
168,153349,ĠìĨį,True
169,202543,Ġë©Ķëª¨,True
170,178445,ì§ĢìĹĲ,True
171,149532,Ġìłģ,True
172,169231,íŀĮ,True
173,51643,Ġë¬¸,True
174,203210,êµ¬ëĬĶ,True
175,154029,Ġë¬´ìĹĩ,True
176,209495,ìĿ¸ê°ĢìļĶ,True
177,30,?,True
178,198,Ċ,True
179,2784,(a,True
180,8,),True
