prompt,question_type,n,accuracy
P0,negation,25,0.96
P0,number,49,0.9387755102040817
P0,position,31,0.9032258064516129
P0,price,74,0.9594594594594594
P0,text_other,321,0.9376947040498442
P1,negation,25,0.96
P1,number,49,0.9387755102040817
P1,position,31,0.9032258064516129
P1,price,74,0.972972972972973
P1,text_other,321,0.9314641744548287
P2,negation,25,0.96
P2,number,49,0.9387755102040817
P2,position,31,0.9354838709677419
P2,price,74,0.9594594594594594
P2,text_other,321,0.9345794392523364
P3,negation,25,0.96
P3,number,49,0.9387755102040817
P3,position,31,0.9354838709677419
P3,price,74,0.9594594594594594
P3,text_other,321,0.9314641744548287
P4,negation,25,0.96
P4,number,49,0.9387755102040817
P4,position,31,0.9032258064516129
P4,price,74,0.9594594594594594
P4,text_other,321,0.9283489096573209
P5,negation,25,0.96
P5,number,49,0.9387755102040817
P5,position,31,0.967741935483871
P5,price,74,0.9594594594594594
P5,text_other,321,0.9345794392523364
